% Model:              hppc_creat.mph
% Version:            COMSOL 6.0.0.318
% Date:               Nov 13 2023, 11:17
% Table:              表格 3 - 全局计算 2
% SOC                    Time (s)                 comp1.pw1(t)*I_1C (A)    Ecell (V)
0.9                      5.300000000000001        27.1                     4.138407622230453
0.9                      5.4                      27.1                     4.138234836468185
0.9                      5.5                      27.1                     4.138064217143434
0.9                      5.6000000000000005       27.1                     4.137895697099638
0.9                      5.7                      27.1                     4.137729213489083
0.9                      5.800000000000001        27.1                     4.1375647077736
0.9                      5.9                      27.1                     4.137402124498431
0.9                      6                        27.1                     4.137241411800776
0.9                      6.1000000000000005       27.1                     4.137082520714505
0.9                      6.2                      27.1                     4.136925404617605
0.9                      6.300000000000001        27.1                     4.136770019912755
0.9                      6.4                      27.1                     4.136616324686138
0.9                      6.5                      27.1                     4.136464279278903
0.9                      6.6000000000000005       27.1                     4.136313845947702
0.9                      6.7                      27.1                     4.136164988725119
0.9                      6.800000000000001        27.1                     4.136017672951875
0.9                      6.9                      27.1                     4.135871865917964
0.9                      7                        27.1                     4.135727536027727
0.9                      7.1000000000000005       27.1                     4.135584652841122
0.9                      7.2                      27.1                     4.135443187357875
0.9                      7.300000000000001        27.1                     4.135303111627136
0.9                      7.4                      27.1                     4.135164398755148
0.9                      7.5                      27.1                     4.135027022633442
0.9                      7.6000000000000005       27.1                     4.134890958375539
0.9                      7.7                      27.1                     4.134756181901108
0.9                      7.800000000000001        27.1                     4.1346226697213835
0.9                      7.9                      27.1                     4.1344903992611
0.9                      8                        27.1                     4.134359348689868
0.9                      8.1                      27.1                     4.134229496892722
0.9                      8.200000000000001        27.1                     4.134100823344185
0.9                      8.3                      27.1                     4.133973308033959
0.9                      8.4                      27.1                     4.133846931670026
0.9                      8.5                      27.1                     4.133721675637018
0.9                      8.6                      27.1                     4.133597521613871
0.9                      8.700000000000001        27.1                     4.133474451785559
0.9                      8.8                      27.1                     4.133352448954761
0.9                      8.9                      27.1                     4.133231496300378
0.9                      9                        27.1                     4.133111577516274
0.9                      9.1                      27.1                     4.132992676659168
0.9                      9.200000000000001        27.1                     4.132874778116302
0.9                      9.3                      27.1                     4.132757866682346
0.9                      9.4                      27.1                     4.132641927701317
0.9                      9.5                      27.1                     4.132526946723314
0.9                      9.600000000000001        27.1                     4.1324129095874005
0.9                      9.700000000000001        27.1                     4.132299802468296
0.9                      9.8                      27.1                     4.1321876119512035
0.9                      9.9                      27.1                     4.132076324848675
0.9                      10                       13.55                    4.1509105972880285
0.9                      10.100000000000001       0                        4.1724719555435925
0.9                      10.200000000000001       0                        4.173105954912975
0.9                      10.3                     0                        4.173532032674296
0.9                      10.4                     0                        4.173878160674251
0.9                      10.5                     0                        4.174173784197934
0.9                      10.600000000000001       0                        4.174434740673845
0.9                      10.700000000000001       0                        4.174670317366987
0.9                      10.8                     0                        4.174886393605
0.9                      10.9                     0                        4.175086933687849
0.9                      11                       0                        4.1752784966480325
0.9                      11.100000000000001       0                        4.175459536716616
0.9                      11.200000000000001       0                        4.175630754928482
0.9                      11.3                     0                        4.175793334533024
0.9                      11.4                     0                        4.175948404132044
0.9                      11.5                     0                        4.176096914134393
0.9                      11.600000000000001       0                        4.176239638693515
0.9                      11.700000000000001       0                        4.176377207026482
0.9                      11.8                     0                        4.176510135121007
0.9                      11.9                     0                        4.176638851357634
0.9                      12                       -13.55000000019718       4.197141776796757
0.9                      12.100000000000001       -27.1                    4.217765623136845
0.9                      12.200000000000001       -27.1                    4.218662376299201
0.9                      12.3                     -27.1                    4.2193389190908235
0.9                      12.4                     -27.1                    4.219929826502123
0.9                      12.5                     -27.1                    4.220465714553649
0.9                      12.600000000000001       -27.1                    4.2209630106706
0.9                      12.700000000000001       -27.1                    4.221431348959672
0.9                      12.8                     -27.1                    4.22187684438437
0.9                      12.9                     -27.1                    4.222303639935358
0.9                      13                       -27.1                    4.222719506295769
0.9                      13.100000000000001       -27.1                    4.223122226150314
0.9                      13.200000000000001       -27.1                    4.223512356940116
0.9                      13.3                     -27.1                    4.223891105839823
0.9                      13.4                     -27.1                    4.224259666381333
0.9                      13.5                     -27.1                    4.224619063422549
0.9                      13.600000000000001       -27.1                    4.224970146472394
0.9                      13.700000000000001       -27.1                    4.225313616611307
0.9                      13.8                     -27.1                    4.225650057318036
0.9                      13.9                     -27.1                    4.225979960214554
0.9                      14                       -27.1                    4.226303744761159
0.9                      14.100000000000001       -27.1                    4.226621772958829
0.9                      14.200000000000001       -27.1                    4.226934359506149
0.9                      14.3                     -27.1                    4.227241780043573
0.9                      14.4                     -27.1                    4.227544281860131
0.9                      14.5                     -27.1                    4.227842087032999
0.9                      14.600000000000001       -27.1                    4.228135395911662
0.9                      14.700000000000001       -27.1                    4.228424390047313
0.9                      14.8                     -27.1                    4.2287092347584165
0.9                      14.9                     -27.1                    4.228990081339398
0.9                      15                       -27.1                    4.229267068867495
0.9                      15.100000000000001       -27.1                    4.229540325741099
